TILEMAP
20 10 							-- Size of tile map in tiles
32 63 32 63						-- Tile size & block size
images/mapa2.png	            -- Tilesheet
70 9							-- Number of tiles in tilesheet 
65,66,67,65,66,67,68,65,65,65,65,65,65,65,65,65,65,65,66,67,
135,136,137,138,135,136,135,136,137,138,135,136,137,138,135,136,137,138,65,66,
205,206,207,208,205,206,205,206,207,208,205,206,207,208,205,206,207,208,65,66,
27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,50,51,52,53,54,
97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,120,121,122,123,124,
167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,249,249,249,
237,238,239,240,241,242,243,244,245,246,247,248,249,250,249,249,249,249,249,249,
307,308,309,310,311,312,313,314,315,316,317,381,249,249,249,249,249,249,249,249,
377,378,379,380,381,381,381,384,385,386,387,381,249,249,249,249,249,249,249,249,
447,448,449,450,381,381,381,381,381,381,381,381,381,381,249,249,249,249,249,249
